Latitude,Longitude
48.07970639545333,-81.59652195041134
48.05692560588511,-81.58062279663557
48.04688052804897,-81.5838578637722
48.03270632382996,-81.58226589288934
48.0174581979928,-81.5857719337651
48.00823653697822,-81.58568584176308
47.99481358272499,-81.59337467242364
47.98534094030593,-81.59190199889538
47.94039044846921,-81.61431096250821
47.93091709328269,-81.61389334774732
47.92653467627296,-81.61558347972979
47.91409200656919,-81.60884056222602
47.89116333068736,-81.60888874645146
47.89113035244634,-81.60919934119464
47.87348089949931,-81.60262637566397
47.85367932936179,-81.60118992685902
47.84453202466613,-81.60632434370767
47.78271914479768,-81.5809518167306
47.77625725270086,-81.58389214257333
47.76510338691482,-81.6064346115702
47.76151366920197,-81.60990580111535
47.75612827020699,-81.62165247022064
47.74858802682024,-81.62618940934533
47.74876422223151,-81.64140498853936
47.74642167154811,-81.66222582790415
47.74659513216997,-81.67263769401379
47.72863638323804,-81.69611488595113
47.72431674883254,-81.71612452288404
47.72018576694686,-81.7193221265653
47.70510153237405,-81.72410791005343
47.70222552219327,-81.72783979851908
