Latitude,Longitude
48.26274017545231,-82.4292113418745
48.25986811622468,-82.41503800414736
48.23495052079777,-82.33238971566887
48.22485444781417,-82.32209338119566
48.22125149252754,-82.31334790052513
48.21652271363723,-82.30992359883341
48.20737279756187,-82.28741770085549
48.20506376579093,-82.27761021939935
48.18105892277122,-82.23987863411895
48.18155726602122,-82.23505279078599
48.18910231072174,-82.21863699217758
48.19579477687989,-82.19784499384855
48.20293623245193,-82.18317994820852
48.20227218579463,-82.16199385546805
48.21087358643104,-82.14334210099241
48.21539396142812,-82.13735453518669
48.21881283248239,-82.11996038749663
48.21752579459395,-82.11163500683804
48.21902280487092,-82.08087275727983
48.22635429240189,-82.04442100420549
48.22573411167124,-82.03596858311002
48.23816801407629,-81.99484178359707
48.23775082971207,-81.9747868255702
48.23661100149201,-81.96333171962735
48.24112082065974,-81.92581392152792
48.23786156065221,-81.91501636037526
48.23657525463544,-81.87058350559242
48.23801128773564,-81.85357479267255
48.2395208987004,-81.84909043001808
48.24612347093565,-81.82537118722847
48.25076412905393,-81.8145087749536
48.26124484526567,-81.80539863854207
48.28404291968673,-81.79391544786981
48.29188789526867,-81.78631318913239
48.30011581812204,-81.7720497891468
48.30620235768342,-81.75487571981029
48.31462303865994,-81.74697551344669
48.32157186483995,-81.74363364436987
48.33565064995748,-81.69473146310575
48.33771467667908,-81.68659781649579
48.3542986405289,-81.66095379301967
48.36200425572023,-81.62525174226818
48.38474792730826,-81.57297620079356
48.38117342998025,-81.56971891947076
48.3720270022478,-81.57490773377329
48.31183633244502,-81.5818565510175
48.29740222634766,-81.57461587759505
48.28371529633208,-81.57671893968634
48.26152871993979,-81.57629163066584
48.25329183141159,-81.56929194470156
48.24380444168646,-81.56843696084115
48.23189753385518,-81.57698199346146
48.21727225774913,-81.57160911999131
48.19135103289812,-81.58355572022143
48.17274769400097,-81.5819123499148
48.13853476303314,-81.59608624910962
48.12011454114295,-81.58831703062717
48.09858290585574,-81.59098922237091
48.08267036343348,-81.59722526027556
48.07536590485835,-81.59482953317935
48.05624654206438,-81.58065795148381
48.05107701370962,-81.58323706185881
48.04430277342929,-81.58339328163167
48.03268008234122,-81.58184626858836
48.01719761071079,-81.58578421083355
48.00834877952616,-81.58521200753118
47.99293703826308,-81.59386685832762
47.98475299360516,-81.59188074841319
47.94033149730994,-81.6143341374764
47.92588109328218,-81.61535859595801
47.91278700250562,-81.60771633498898
47.8909999684431,-81.60841496974179
47.87129761448129,-81.60139325685118
47.8533503080648,-81.60031749635343
47.84506015930315,-81.60636529358881
47.78254082401467,-81.58106857767089
47.7765416003345,-81.58380859546934
47.77087949829957,-81.59400673164136
47.76475049973543,-81.60697327842405
47.75635635931474,-81.62002455134036
47.74838629806782,-81.62618529323605
47.74816069783186,-81.6438681671608
47.7466323889855,-81.67231367331831
47.72768534576673,-81.69682439155251
47.7258725240163,-81.71180149921369
47.7189867406308,-81.7199449263523
47.7023985424535,-81.72579715573808
47.70172187028306,-81.73461331867436
47.70535633399773,-81.74009084378899
47.70625640059027,-81.76629102063168
47.70139727727343,-81.77314448776677
47.66689093455431,-81.78768113199312
